tag_key,tag_id,tag_problem_num,tag_display_lang,tag_name,tag_name_short
math,124,5536,ko,수학,수학
implementation,102,4749,ko,구현,구현
dp,25,3513,ko,다이나믹 프로그래밍,다이나믹 프로그래밍
data_structures,175,3256,ko,자료 구조,자료 구조
graphs,7,3221,ko,그래프 이론,그래프 이론
greedy,33,2095,ko,그리디 알고리즘,그리디 알고리즘
string,158,2095,ko,문자열,문자열
bruteforcing,125,1902,ko,브루트포스 알고리즘,브루트포스 알고리즘
graph_traversal,11,1772,ko,그래프 탐색,그래프 탐색
sorting,97,1566,ko,정렬,정렬
geometry,100,1283,ko,기하학,기하학
number_theory,95,1237,ko,정수론,정수론
trees,120,1194,ko,트리,트리
segtree,65,1130,ko,세그먼트 트리,세그먼트 트리
ad_hoc,109,1117,ko,애드 혹,애드 혹
binary_search,12,1053,ko,이분 탐색,이분 탐색
arithmetic,121,958,ko,사칙연산,사칙연산
simulation,141,899,ko,시뮬레이션,시뮬레이션
bfs,126,881,ko,너비 우선 탐색,너비 우선 탐색
constructive,128,812,ko,해 구성하기,해 구성하기
prefix_sum,139,788,ko,누적 합,누적 합
combinatorics,6,767,ko,조합론,조합론
dfs,127,719,ko,깊이 우선 탐색,깊이 우선 탐색
case_work,137,703,ko,많은 조건 분기,많은 조건 분기
bitmask,14,619,ko,비트마스킹,비트마스킹
dijkstra,22,510,ko,데이크스트라,데이크스트라
hash_set,136,507,ko,해시를 사용한 집합과 맵,해시를 사용한 집합과 맵
backtracking,5,453,ko,백트래킹,백트래킹
tree_set,74,437,ko,트리를 사용한 집합과 맵,트리를 사용한 집합과 맵
sweeping,106,415,ko,스위핑,스위핑
disjoint_set,81,401,ko,분리 집합,분리 집합
parsing,96,393,ko,파싱,파싱
divide_and_conquer,24,377,ko,분할 정복,분할 정복
priority_queue,59,367,ko,우선순위 큐,우선순위 큐
dp_tree,92,366,ko,트리에서의 다이나믹 프로그래밍,트리에서의 다이나믹 프로그래밍
two_pointer,80,330,ko,두 포인터,두 포인터
stack,71,326,ko,스택,스택
game_theory,140,311,ko,게임 이론,게임 이론
parametric_search,170,310,ko,매개 변수 탐색,매개 변수 탐색
flow,45,297,ko,최대 유량,최대 유량
primality_test,9,283,ko,소수 판정,소수 판정
dp_bitfield,87,263,ko,비트필드를 이용한 다이나믹 프로그래밍,비트필드를 이용한 다이나믹 프로그래밍
lazyprop,66,259,ko,느리게 갱신되는 세그먼트 트리,느리게 갱신되는 세그먼트 트리
exponentiation_by_squaring,39,244,ko,분할 정복을 이용한 거듭제곱,분할 정복을 이용한 거듭제곱
probability,177,240,ko,확률론,확률론
arbitrary_precision,117,231,ko,임의 정밀도 / 큰 수 연산,임의 정밀도 / 큰 수 연산
offline_queries,123,221,ko,오프라인 쿼리,오프라인 쿼리
recursion,62,200,ko,재귀,재귀
knapsack,148,199,ko,배낭 문제,배낭 문제
coordinate_compression,161,193,ko,값 / 좌표 압축,값 / 좌표 압축
precomputation,172,186,ko,런타임 전의 전처리,런타임 전의 전처리
mst,49,180,ko,최소 스패닝 트리,최소 스패닝 트리
sieve,67,179,ko,에라토스테네스의 체,에라토스테네스의 체
bipartite_matching,13,169,ko,이분 매칭,이분 매칭
euclidean,26,168,ko,유클리드 호제법,유클리드 호제법
topological_sorting,78,159,ko,위상 정렬,위상 정렬
floyd_warshall,31,156,ko,플로이드–워셜,플로이드–워셜
linear_algebra,144,153,ko,선형대수학,선형대수학
convex_hull,20,150,ko,볼록 껍질,볼록 껍질
lca,41,149,ko,최소 공통 조상,최소 공통 조상
hashing,8,146,ko,해싱,해싱
scc,76,140,ko,강한 연결 요소,강한 연결 요소
inclusion_and_exclusion,38,139,ko,포함 배제의 원리,포함 배제의 원리
randomization,115,129,ko,무작위화,무작위화
sparse_table,84,122,ko,희소 배열,희소 배열
fft,28,113,ko,고속 푸리에 변환,고속 푸리에 변환
trie,79,112,ko,트라이,트라이
smaller_to_larger,169,111,ko,작은 집합에서 큰 집합으로 합치는 테크닉,작은 집합에서 큰 집합으로 합치는 테크닉
mcmf,48,102,ko,최소 비용 최대 유량,최소 비용 최대 유량
line_intersection,42,101,ko,선분 교차 판정,선분 교차 판정
deque,73,99,ko,덱,덱
sqrt_decomposition,130,97,ko,제곱근 분할법,제곱근 분할법
suffix_array,77,91,ko,접미사 배열과 LCP 배열,접미사 배열과 LCP 배열
cht,89,90,ko,볼록 껍질을 이용한 최적화,볼록 껍질을 이용한 최적화
geometry_3d,131,88,ko,3차원 기하학,3차원 기하학
euler_tour_technique,150,87,ko,오일러 경로 테크닉,오일러 경로 테크닉
calculus,111,86,ko,미적분학,미적분학
sprague_grundy,70,86,ko,스프라그–그런디 정리,스프라그–그런디 정리
heuristics,142,85,ko,휴리스틱,휴리스틱
sliding_window,68,85,ko,슬라이딩 윈도우,슬라이딩 윈도우
centroid,188,81,ko,센트로이드,센트로이드
mitm,46,77,ko,중간에서 만나기,중간에서 만나기
ternary_search,101,77,ko,삼분 탐색,삼분 탐색
pythagoras,60,76,ko,피타고라스 정리,피타고라스 정리
modular_multiplicative_inverse,164,74,ko,모듈로 곱셈 역원,모듈로 곱셈 역원
kmp,40,72,ko,KMP,KMP
lis,43,72,ko,가장 긴 증가하는 부분 수열: O(n log n),가장 긴 증가하는 부분 수열: O(n log n)
hld,35,71,ko,Heavy-light 분할,Heavy-light 분할
bitset,152,71,ko,비트 집합,비트 집합
gaussian_elimination,32,71,ko,가우스 소거법,가우스 소거법
centroid_decomposition,18,70,ko,센트로이드 분할,센트로이드 분할
permutation_cycle_decomposition,171,69,ko,순열 사이클 분할,순열 사이클 분할
mfmc,167,62,ko,최대 유량 최소 컷 정리,최대 유량 최소 컷 정리
eulerian_path,93,56,ko,오일러 경로,오일러 경로
physics,116,55,ko,물리학,물리학
2_sat,1,54,ko,2-sat,2-sat
tsp,138,53,ko,외판원 순회 문제,외판원 순회 문제
queue,72,53,ko,큐,큐
articulation,4,51,ko,단절점과 단절선,단절점과 단절선
polygon_area,3,49,ko,다각형의 넓이,다각형의 넓이
flt,29,47,ko,페르마의 소정리,페르마의 소정리
0_1_bfs,176,47,ko,0-1 너비 우선 탐색,0-1 너비 우선 탐색
linearity_of_expectation,179,47,ko,기댓값의 선형성,기댓값의 선형성
pst,55,43,ko,퍼시스턴트 세그먼트 트리,퍼시스턴트 세그먼트 트리
crt,19,38,ko,중국인의 나머지 정리,중국인의 나머지 정리
cactus,143,37,ko,선인장,선인장
planar_graph,168,36,ko,평면 그래프,평면 그래프
pigeonhole_principle,189,36,ko,비둘기집 원리,비둘기집
mo,50,35,ko,mo's,Mo's
pbs,54,35,ko,병렬 이분 탐색,병렬 이분 탐색
bellman_ford,10,35,ko,벨만–포드,벨만–포드
biconnected_component,153,35,ko,이중 연결 요소,이중 연결 요소
euler_phi,151,33,ko,오일러 피 함수,오일러 피 함수
bipartite_graph,197,32,ko,이분 그래프,이분 그래프
point_in_convex_polygon,56,32,ko,볼록 다각형 내부의 점 판정,볼록 다각형 내부의 점 판정
splay_tree,69,31,ko,스플레이 트리,스플레이 트리
extended_euclidean,27,31,ko,확장 유클리드 호제법,확장 유클리드 호제법
linked_list,154,30,ko,연결 리스트,연결 리스트
divide_and_conquer_optimization,91,30,ko,분할 정복을 사용한 최적화,분할 정복을 사용한 최적화
euler_characteristic,119,29,ko,오일러 지표 (χ=V-E+F),오일러 지표
regex,63,27,ko,정규 표현식,정규 표현식
dp_deque,108,27,ko,덱을 이용한 다이나믹 프로그래밍,덱을 이용한 다이나믹 프로그래밍
multi_segtree,166,27,ko,다차원 세그먼트 트리,다차원 세그먼트 트리
berlekamp_massey,110,26,ko,벌리캠프–매시,벌리캠프–매시
rotating_calipers,64,26,ko,회전하는 캘리퍼스,회전하는 캘리퍼스
aho_corasick,2,24,ko,아호-코라식,아호-코라식
slope_trick,157,23,ko,함수 개형을 이용한 최적화,함수 개형을 이용한 최적화
merge_sort_tree,155,23,ko,머지 소트 트리,머지 소트 트리
manacher,44,22,ko,매내처,매내처
link_cut_tree,98,22,ko,링크/컷 트리,링크/컷 트리
simulated_annealing,184,22,ko,담금질 기법,담금질 기법
dp_connection_profile,107,22,ko,커넥션 프로파일을 이용한 다이나믹 프로그래밍,커넥션 프로파일을 이용한 다이나믹 프로그래밍
half_plane_intersection,190,22,ko,반평면 교집합,반평면 교집합
rabin_karp,61,20,ko,라빈–카프,라빈–카프
pollard_rho,58,20,ko,폴라드 로,폴라드 로
tree_isomorphism,145,20,ko,트리 동형 사상,트리 동형 사상
miller_rabin,47,19,ko,밀러–라빈 소수 판별법,밀러–라빈 소수 판별법
mobius_inversion,51,19,ko,뫼비우스 반전 공식,뫼비우스 반전 공식
hall,34,18,ko,홀의 결혼 정리,홀의 결혼 정리
hungarian,36,18,ko,헝가리안,헝가리안
statistics,178,17,ko,통계학,통계학
linear_programming,103,17,ko,선형 계획법,선형 계획법
circulation,191,16,ko,서큘레이션,서큘레이션
alien,134,15,ko,Aliens 트릭,aliens 트릭
numerical_analysis,122,15,ko,수치해석,수치해석
offline_dynamic_connectivity,52,15,ko,오프라인 동적 연결성 판정,오프라인 동적 연결성 판정
dp_sum_over_subsets,207,14,ko,부분집합의 합 다이나믹 프로그래밍,부분집합의 합
point_in_non_convex_polygon,57,14,ko,오목 다각형 내부의 점 판정,오목 다각형 내부의 점 판정
lucas,113,13,ko,뤼카 정리,뤼카 정리
voronoi,82,13,ko,보로노이 다이어그램,보로노이 다이어그램
dual_graph,181,13,ko,쌍대 그래프,쌍대 그래프
duality,180,12,ko,쌍대성,쌍대성
kitamasa,112,12,ko,키타마사,키타마사
general_matching,15,11,ko,일반적인 매칭,일반적인 매칭
generating_function,198,11,ko,생성 함수,생성 함수
matroid,104,10,ko,매트로이드,매트로이드
tree_compression,193,10,ko,트리 압축,트리 압축
discrete_log,146,9,ko,이산 로그,이산 로그
tree_decomposition,204,9,ko,트리 분할,트리 분할
min_enclosing_circle,162,9,ko,최소 외접원,최소 외접원
burnside,16,8,ko,번사이드 보조정리,번사이드 보조정리
z,83,7,ko,z,Z
utf8,199,7,ko,utf-8 입력 처리,utf-8
knuth_x,174,7,ko,크누스 X,크누스 X
discrete_sqrt,147,7,ko,이산 제곱근,이산 제곱근
cartesian_tree,206,7,ko,데카르트 트리,데카르트 트리
dominator_tree,135,7,ko,도미네이터 트리,도미네이터 트리
stable_marriage,192,7,ko,안정 결혼 문제,안정 결혼
bidirectional_search,129,7,ko,양방향 탐색,양방향 탐색
monotone_queue_optimization,165,7,ko,단조 큐를 이용한 최적화,단조 큐를 이용한 최적화
pick,187,6,ko,픽의 정리,픽
bayes,114,6,ko,베이즈 정리,베이즈 정리
top_tree,105,6,ko,탑 트리,탑 트리
dancing_links,173,6,ko,춤추는 링크,춤추는 링크
geometry_hyper,132,6,ko,4차원 이상의 기하학,4차원 이상의 기하학
palindrome_tree,53,6,ko,회문 트리,회문 트리
rope,159,5,ko,로프,로프
knuth,90,5,ko,크누스 최적화,크누스 최적화
suffix_tree,182,5,ko,접미사 트리,접미사 트리
green,183,4,ko,그린 정리,그린
hirschberg,163,4,ko,히르쉬버그,히르쉬버그
directed_mst,23,4,ko,유향 최소 신장 트리,유향 최소 신장 트리
stoer_wagner,75,4,ko,스토어–바그너,스토어–바그너
chordal_graph,201,4,ko,현 그래프,현 그래프
degree_sequence,200,4,ko,차수열,차수열
functional_graph,211,4,ko,함수형 그래프,함수형 그래프
polynomial_interpolation,209,4,ko,다항식 보간법,다항식 보간법
differential_cryptanalysis,185,4,ko,차분 공격,차분 공격
delaunay,21,3,ko,델로네 삼각분할,델로네 삼각분할
majority_vote,160,3,ko,보이어–무어 다수결 투표,보이어–무어 다수결 투표
gradient_descent,208,3,ko,경사 하강법,경사 하강법
lte,212,2,ko,지수승강 보조정리,지수승강
birthday,203,2,ko,생일 문제,생일
hackenbush,205,2,ko,하켄부시 게임,하켄부시 게임
multipoint_evaluation,196,2,ko,다중 대입값 계산,다중 계산
geometric_boolean_operations,202,2,ko,도형에서의 불 연산,도형에서의 불 연산
a_star,186,1,ko,a*,a*
rb_tree,94,1,ko,레드-블랙 트리,레드-블랙 트리
flood_fill,210,1,ko,플러드 필,플러드 필
discrete_kth_root,149,1,ko,이산 k제곱근,이산 k제곱근
